coefficient_name,value,constrain
coef_dist,0.285,F
coef_dist_sqrt,-1.604,F
coef_dist_sqrd,-0.004362,F
coef_dist_cubed,2.365e-05,F
coef_dist_lowincme,0.1941,F
coef_dist_sqrt_lowincme,-0.8721,F
coef_dist_sqrd__lowincme,-0.002409,F
coef_dist_highincme,0.0,F
coef_dist_sqrd_highincme,0.0001919,F
coef_dist_ptworker,-0.116,F
coef_dist_sqrd_ptworker,0.0003934,F
coef_dist_femaleworker,-0.02515,F
coef_mode_logsum,0.5468,F
coef_distance_0_2miles,-4.5071940139411195,F
coef_distance_2_5miles,-0.87,F
coef_distance_5_10miles,5.0,F
coef_distance_10_20miles,5.0,F
coef_distance_20_30miles,5.0,F
coef_distance_30plusmiles,5.0,F
